"treat","rep","tree","date","isalive","height","dia","dbh"
"CONTROL","A",1,10/7/1996 0:00:00,1,31.00,6.50,0.00
"CONTROL","A",1,11/11/1997 0:00:00,1,59.00,9.00,0.00
"CONTROL","A",1,8/18/1999 0:00:00,1,137.16,11.00,0.00
"CONTROL","A",1,2/7/2001 0:00:00,1,154.22,20.00,19.00
"CONTROL","A",1,5/31/2002 0:00:00,1,211.83,30.00,19.00
"CONTROL","A",1,11/26/2002 0:00:00,1,277.36,30.00,24.00
"CONTROL","A",1,4/26/2004 0:00:00,1,338.32,40.00,28.00
"CONTROL","A",1,8/23/2005 0:00:00,1,426.72,43.18,35.56
"CONTROL","A",2,10/7/1996 0:00:00,1,130.00,23.00,0.00
"CONTROL","A",2,11/11/1997 0:00:00,1,179.00,41.00,0.00
"CONTROL","A",2,8/18/1999 0:00:00,1,360.88,60.00,0.00
"CONTROL","A",2,2/7/2001 0:00:00,1,480.66,62.00,74.00
"CONTROL","A",2,5/31/2002 0:00:00,1,478.53,99.00,74.00
"CONTROL","A",2,11/26/2002 0:00:00,1,548.64,112.00,89.00
"CONTROL","A",2,4/26/2004 0:00:00,1,667.51,135.00,95.00
"CONTROL","A",2,8/23/2005 0:00:00,1,883.92,182.88,134.62
"CONTROL","A",3,10/7/1996 0:00:00,1,109.00,22.60,0.00
"CONTROL","A",3,11/11/1997 0:00:00,1,172.00,31.00,0.00
"CONTROL","A",3,8/18/1999 0:00:00,1,390.75,52.00,0.00
"CONTROL","A",3,2/7/2001 0:00:00,1,490.72,71.00,72.00
"CONTROL","A",3,5/31/2002 0:00:00,1,601.37,106.00,72.00
"CONTROL","A",3,11/26/2002 0:00:00,1,731.52,119.00,82.00
"CONTROL","A",3,4/26/2004 0:00:00,1,807.72,142.00,102.00
"CONTROL","A",3,8/23/2005 0:00:00,1,914.40,167.64,127.00
"CONTROL","A",4,10/7/1996 0:00:00,1,116.00,25.10,0.00
"CONTROL","A",4,11/11/1997 0:00:00,1,159.00,36.00,0.00
"CONTROL","A",4,8/18/1999 0:00:00,1,341.37,53.00,0.00
