Site,Location,Tree,Age.base,Height,Diameter,Volume,Age.bh
1,1,1,10,1.2,NA,0.3,NA
1,1,1,20,4.2,4.6,5,9.67
1,1,1,30,9.3,10.2,38,19.67
1,1,1,40,14.9,14.9,123,29.67
1,1,1,50,19.7,18.3,263,39.67
1,1,1,60,23,20.7,400,49.67
1,1,1,70,25.8,22.6,555,59.67
1,1,1,80,27.4,24.1,688,69.67
1,1,1,90,28.8,25.5,820,79.67
1,1,1,100,30,26.5,928,89.67
1,1,1,110,30.9,27.3,1023,99.67
1,1,1,120,31.8,28.1,1104,109.67
1,1,1,130,32.4,28.6,1156,119.67
1,1,1,140,33.1,29,1219,129.67
1,1,2,10,1,NA,0.1,NA
1,1,2,20,4.8,5.4,6,9.21
1,1,2,30,10.3,12.3,53,19.21
1,1,2,40,15.3,17.2,152,29.21
1,1,2,50,19.9,20.5,286,39.21
1,1,2,60,23.7,23.6,465,49.21
1,1,2,70,27.1,26.3,679,59.21
1,1,2,80,29.4,28.4,890,69.21
1,1,2,90,31.5,30.3,1092,79.21
1,1,2,100,33.1,32.3,1316,89.21
1,1,2,110,34.3,34.1,1513,99.21
1,1,2,120,35.5,36.3,1772,109.21
1,1,2,130,36.7,38.8,2045,119.21
1,1,2,140,37.8,40.8,2296,129.21
1,1,3,10,1.6,0.7,0.6,0.7
1,1,3,20,5.9,7.3,13,10.7
1,1,3,30,10.2,13.8,71,20.7
1,1,3,40,14,19,186,30.7
1,1,3,50,18.3,23.6,370,40.7
1,1,3,60,22.6,27.1,595,50.7
1,1,3,70,26.7,29.6,847,60.7
1,1,3,80,29.6,31.4,1068,70.7
1,1,3,90,32,33,1284,80.7
1,1,3,100,34,34.4,1473,90.7
1,1,3,110,35.5,35.9,1678,100.7
1,1,3,120,36.8,37.6,1922,110.7
1,1,3,130,38.2,39.4,2155,120.7
1,1,3,140,39.5,40.9,2380,130.7
1,1,4,10,1.2,NA,0.2,NA
1,1,4,20,6.9,9.2,23,9.82
1,1,4,30,12.7,18.3,142,19.82
1,1,4,40,18.2,27.2,434,29.82
1,1,4,50,23.2,33.1,813,39.82
1,1,4,60,27.2,36.2,1158,49.82
1,1,4,70,30.1,38.8,1505,59.82
1,1,4,80,32.7,41.1,1796,69.82
1,1,4,90,35,43.3,2091,79.82
1,1,4,100,37,45.3,2379,89.82
1,1,4,110,38.9,47.7,2717,99.82
1,1,4,120,40.6,50.1,3063,109.82
1,1,4,130,42.1,52.8,3484,119.82
1,1,4,140,43.5,55.4,3919,129.82
1,1,6,10,2,1.4,1.3,1.21
1,1,6,20,7.8,12.2,40,11.21
1,1,6,30,12.9,17.5,134,21.21
1,1,6,40,17.7,22.3,281,31.21
1,1,6,50,22.2,26.2,498,41.21
1,1,6,60,24.8,28.4,688,51.21
1,1,6,70,27.2,30.6,902,61.21
1,1,6,80,29.3,32.6,1103,71.21
1,1,6,90,31.4,34.5,1320,81.21
1,1,6,100,32.8,35.7,1481,91.21
1,1,6,110,33.9,36.7,1616,101.21
1,1,6,120,34.7,37.6,1738,111.21
1,1,6,130,35.6,38.6,1874,121.21
1,1,6,140,36.5,39.4,1988,131.21
1,1,6,150,37.4,40.1,2093,141.21
1,1,7,10,1.9,1.5,0.9,1.2
1,1,7,20,6.9,10.8,29,11.2
1,1,7,30,12.2,16.9,121,21.2
1,1,7,40,16.6,23.2,314,31.2
1,1,7,50,20.7,28,580,41.2
1,1,7,60,24.1,31.2,868,51.2
1,1,7,70,27.3,34,1181,61.2
1,1,7,80,30.2,36.8,1552,71.2
1,1,7,90,32.5,39,1913,81.2
1,1,7,100,34.1,40.7,2233,91.2
1,1,7,110,35.3,42.1,2513,101.2
1,1,7,120,36.5,43.3,2771,111.2
1,1,7,130,37.6,44.6,3052,121.2
1,1,7,140,38.8,46.1,3368,131.2
1,1,7,150,39.9,47.6,3678,141.2
1,2,1,10,1,NA,0.2,NA
1,2,1,20,4.8,6.6,11,9.21
1,2,1,30,9.5,15.6,80,19.21
1,2,1,40,14.2,22.3,240,29.21
1,2,1,50,18.8,28.3,505,39.21
1,2,1,60,23.1,32.2,805,49.21
1,2,1,70,26.2,34.6,1079,59.21
1,2,1,80,28.2,36.5,1335,69.21
1,2,1,90,30.2,37.8,1538,79.21
1,2,1,100,32.2,39.4,1761,89.21
1,2,1,110,33.5,41,1988,99.21
1,2,1,120,34.7,42.2,2176,109.21
1,2,1,130,35.5,43.3,2338,119.21
1,2,1,140,36.3,44.6,2550,129.21
1,2,1,150,37.1,46.3,2794,139.21
1,2,2,10,0.9,NA,0.1,NA
1,2,2,20,4,5.3,6,8.71
1,2,2,30,9.1,15.1,71,18.71
1,2,2,40,14.2,21.7,215,28.71
1,2,2,50,18.4,26.5,452,38.71
1,2,2,60,22.5,29.9,714,48.71
1,2,2,70,26,32.7,967,58.71
1,2,2,80,28.8,35,1261,68.71
1,2,2,90,30.6,36.8,1476,78.71
1,2,2,100,32.2,38.6,1695,88.71
1,2,2,110,33.7,40.2,1915,98.71
1,2,2,120,35,41.6,2107,108.71
1,2,2,130,36.2,43.2,2321,118.71
1,2,2,140,37.2,44.5,2508,128.71
1,2,2,150,38.1,46,2694,138.71
