stand period age vol
1 1 30 3.2
1 2 40 6.1 
1 3 50 8.3 
1 4 60 10.1
1 5 70 11.6
1 6 80 12.9
2 1 40 6.1  
2 2 50 8.3
2 3 60 10.1
2 4 70 11.6
2 5 80 12.9
2 6 90 14.1
3 1 50 8.3 
3 2 60 10.1
3 3 70 11.6
3 4 80 12.9
3 5 90 14.1
3 6 100 15.1
4 1 60 10.1
4 2 70 11.6
4 3 80 12.6
4 4 90 14.1
4 5 100 15.1
4 6 110 16.0
5 1 70 11.6
5 2 80 12.6
5 3 90 14.1
5 4 100 15.1
5 5 110 16.0
5 6 120 16.9
6 1 80 12.9
6 2 90 14.1
6 3 100 15.1
6 4 110 16.0
6 5 120 16.9
6 6 130 17.7
7 1 90 14.1
7 2 100 15.1
7 3 110 16.0
7 4 120 16.9
7 5 130 17.7
7 6 140 18.4
8 1 100 15.1
8 2 110 16.0
8 3 120 16.9
8 4 130 17.7
8 5 140 18.4
8 6 150 19.1
