"This dataset represents a selection of tree taper data from the British Columbia Ministry of Forests and Range volume and decay databases. The trees in the master database were used to fit the taper equations used in B.C.  All trees in the master database were selected purposefully.",,,,,,,,,,
"The trees in this dataset were systematically selected from the range of dbh for the species within a biogeoclimatic zone from the trees in the master database.",,,,,,,,,,
"Each record equals a section of a tree and cites the height above ground (high side), its stem diameter and volume for the upper position of the section.  Header details describing the tree species, biogeoclimatic unit, dbh, height, age  and total tree volume are cited for each section record.",,,,,,,,,,
"Section volume was calculated using Smalians formula. Tree volume is the sum of all section volumes.",,,,,,,,,,
"Please contact Will Smith for further information: phone # 250-356-6853, email: will.smith@gov.bc.ca",,,,,,,,,,
15-Feb-07,,,,,,,,,,
,,,,,,,,,,
"Tree_no","Section Height","Section #","Section DIB","Section Gross Volume","Species","BEC Unit","Tree Age","DBH","Tree Height","Tree Gross Volume"
"913547",0.3,1,5.8,0,"F","CWH dm",40,5.9,6.34,0.01
"913547",0.61,2,5.8,0,"F","CWH dm",40,5.9,6.34,0.01
"913547",1.3,3,5.2,0,"F","CWH dm",40,5.9,6.34,0.01
"913547",2.59,4,4.1,0,"F","CWH dm",40,5.9,6.34,0.01
"913547",3.81,5,2.8,0,"F","CWH dm",40,5.9,6.34,0.01
"913547",5.03,6,2,0,"F","CWH dm",40,5.9,6.34,0.01
"913547",6.34,7,0,0,"F","CWH dm",40,5.9,6.34,0.01
"913558",0.3,1,11.7,0,"F","CWH dm",51,11.5,10.18,0.05
"913558",0.61,2,10.9,0,"F","CWH dm",51,11.5,10.18,0.05
"913558",1.3,3,10.2,0.01,"F","CWH dm",51,11.5,10.18,0.05
"913558",2.59,4,9.7,0.01,"F","CWH dm",51,11.5,10.18,0.05
"913558",3.81,5,8.9,0.01,"F","CWH dm",51,11.5,10.18,0.05
"913558",5.03,6,8.4,0.01,"F","CWH dm",51,11.5,10.18,0.05
"913558",6.25,7,7.1,0.01,"F","CWH dm",51,11.5,10.18,0.05
"913558",7.47,8,6.1,0,"F","CWH dm",51,11.5,10.18,0.05
"913558",8.69,9,3.8,0,"F","CWH dm",51,11.5,10.18,0.05
"913558",10.18,10,0,0,"F","CWH dm",51,11.5,10.18,0.05
"913539",0.3,1,13.5,0,"F","CWH dm",51,12.5,13.11,0.07
"913539",0.61,2,12.2,0,"F","CWH dm",51,12.5,13.11,0.07
"913539",1.3,3,11.2,0.01,"F","CWH dm",51,12.5,13.11,0.07
