"","forest","plot","ba","ht"
"1","114","100130O",125.717833264415,94.8636363636364
"2","114","100230O",103.575163400364,33.9523809523809
"3","114","100330O",155.471647134195,54.2631578947368
"4","114","100430O",198.961199082981,43.6086956521739
"5","114","100530O",17.1433405996649,69.6666666666667
"6","118","100616O",96.0027100696014,74.25
"7","114","100630O",198.877357971470,80.1944444444444
"8","114","100730O",168.731838593079,79.3548387096774
"9","118","100816O",89.4738657980816,38.3684210526316
"10","114","100830O",5.71444742646282,59
"11","114","100930O",11.4288938498288,70.5
"12","114","101030O",69.4172003105844,75.6153846153846
"13","118","101116O",16.0102686689261,53.5
"14","114","101130O",57.1917907053105,49.7692307692308
"15","118","101216O",206.138296189700,65.3448275862069
"16","114","101230O",80.7042388644735,67.6666666666667
"17","118","101316O",40.7319109706132,47.8333333333333
"18","114","101330O",192.315853883240,77.5142857142857
"19","118","101416O",8.00022614888394,40
"20","114","101430O",168.715476330574,49.2051282051282
"21","118","101516O",24.0137695857396,72
"22","114","101530O",155.282620467393,69.448275862069
"23","118","101616O",92.0306999360184,48.6
"24","114","101630O",9.98972448269866,20.8
"25","114","101730O",179.222657625868,81.4571428571429
"26","118","101816O",92.7931958413019,40.4210526315789
"27","114","101830O",162.329439999707,70.8387096774194
"28","118","101916O",117.292526623676,51.3529411764706
"29","118","102016O",34.7279079054275,35.75
"30","114","102030O",159.755125940528,92.7741935483871
"31","118","102116O",101.609506816108,58.8571428571429
"32","114","102130O",49.0689972596191,21.4705882352941
"33","113","10216O",142.268405968084,67.65
"34","118","102216O",144.004066976431,96.5
"35","118","102316O",30.2053226891449,33.8571428571429
"36","114","102430O",127.655457462147,60.3870967741936
"37","114","102530O",42.5628715043388,49.8
"38","118","102616O",24.0235841465551,57.3333333333333
"39","114","102630O",45.4530998307824,65.4
"40","118","102716O",189.674168349845,72.24
"41","114","102730O",12.9178784569851,48.5
"42","118","102816O",105.232954886072,25.1481481481481
"43","114","102830O",96.4715203919613,72.6111111111111
"44","114","102930O",83.650356110698,56.5
"45","114","103030O",60.0016931388797,59.6
"46","114","1030O",40.4857171833317,25.4
"47","105","103116O",24.0006789335987,60.6666666666667
"48","105","103216O",263.547049428871,92.4242424242424
"49","114","103230O",165.131210675378,54.974358974359
"50","118","103316O",8.02313252924744,51
"51","114","103330O",51.7961262874468,46
"52","114","103430O",81.9491714518395,64.2777777777778
"53","118","103516O",8.02967694736492,98
"54","114","103530O",60.4385693168639,37.6428571428571
"55","118","103616O",17.9148594729282,25.2
"56","114","103630O",92.1167638200915,67.1176470588235
"57","114","103730O",130.614002481557,55.5483870967742
"58","105","103816O",106.954720965216,52.6470588235294
"59","105","103916O",112.412218658237,114.533333333333
"60","114","103930O",117.734820226054,68.7105263157895
"61","105","104016O",106.847748690563,35.1764705882353
"62","105","104116O",133.095621461460,109.95
"63","114","104130O",41.3699400502861,25.84
"64","105","104216O",33.0707893950087,19.4166666666667
"65","110","104230O",102.56536497371,42.875
"66","105","104316O",195.238204738136,44.4545454545455
"67","110","104330O",124.94839537177,22.45
"68","105","104416O",138.944569872852,55.4583333333333
"69","114","104430O",101.589976220222,94.3333333333333
"70","114","104630O",95.1250639734497,49
"71","110","104730O",98.1619371323012,65.2307692307692
"72","110","104830O",129.591783453073,58.5135135135135
"73","105","104916O",51.9489980121771,22.3333333333333
"74","110","104930O",81.0384012151445,32.8333333333333
"75","105","105016O",65.3510876384893,47
"76","105","105116O",154.245729264855,39.1
"77","110","105130O",70.9656650428389,56.35
"78","113","10516O",72.4863590183019,69.4
"79","110","105230O",151.907133136496,91.7380952380952
"80","105","105316O",40.3271397583469,37.6666666666667
"81","110","105330O",227.620793937094,118.140350877193
"82","110","105430O",147.757610362330,63.3157894736842
"83","110","105530O",220.006213300252,92.6181818181818
"84","110","105630O",76.947275950528,32.3913043478261
"85","110","105730O",93.2608684468296,51.0416666666667
"86","110","105830O",107.347820693462,59.5769230769231
"87","110","105930O",12.0396114434026,67.6666666666667
"88","110","106030O",130.592621460831,83.5263157894737
"89","110","106130O",157.111012075248,95
"90","113","10616O",82.3617283363344,60
"91","116","1062130O",252.449586137228,40.0263157894737
"92","103","1062330O",66.5357349779499,32.4
"93","103","1062430O",105.791751674043,37.5263157894737
"94","103","1062530O",144.025730630989,54.76
"95","103","1062630O",118.298200599289,30.375
"96","103","1062830O",47.5409516634302,63
