"stratum","cluster","point","tree","species","distance.m","azimuth","dbh.cm","dbh.in","hcb.m","ht.m","ht.ft","baf.ft2.ac","ba.ft2","tf.ac","vol.bf"
1,1,1,1,"LAOC",14.593,326,38.6,15.197,6.1,20.44,67.452,5,1.2596,3.9696,185.1
1,1,2,1,"THPL",6.1885,276,47.7,18.78,9.03,25.78,85.074,20,1.9235,10.398,274.17
1,1,2,2,"THPL",3.893,365,34.6,13.622,3.28,18.89,62.337,20,1.012,19.762,112.3
1,1,2,3,"THPL",5.333,32,52.6,20.709,4.45,18.04,59.532,20,2.3389,8.5509,234.9
1,1,2,4,"PSME",6.8375,102,31.5,12.402,23.02,36.2,119.46,20,0.8388,23.843,209.61
1,1,2,5,"ABGR",1.0065,241,11.3,4.4488,4.08,8.77,28.941,20,0.1079,185.28,41.533
1,1,2,6,"ABGR",1.922,290,10.4,4.0945,3.49,10,33,20,0.0914,218.73,41.28
1,1,2,7,"ABGR",1.0095,116,5.9,2.3228,2.85,4.39,14.487,20,0.0294,679.64,35.138
1,1,2,8,"THPL",8.9145,120,62.9,24.764,6.46,25.4,83.82,20,3.3446,5.9797,462.05
1,1,3,11,"PSME",4.1535,182,16.7,6.5748,5.22,13.46,44.418,5,0.2358,21.207,44.591
1,1,3,12,"THPL",7.3565,198,47.3,18.622,4.49,26.56,87.648,5,1.8913,2.6436,277.61
1,1,3,13,"THPL",13.85,231,51.9,20.433,10.75,26.62,87.846,5,2.2771,2.1958,332.76
1,1,3,14,"PIPO",26.566,153,99.1,39.016,28.18,39.19,129.33,5,8.3022,0.6022,2414.7
1,1,3,3,"ABGR",3.167,6,9.4,3.7008,1.56,6.23,20.559,5,0.0747,66.937,37.768
1,1,3,4,"ABGR",10.911,79,26.1,10.276,3.43,18.6,61.38,5,0.5759,8.6824,117.93
1,1,3,5,"TSHE",10.489,115,23.8,9.3701,3.89,17.25,56.925,5,0.4789,10.442,97.439
1,1,3,6,"PSME",21.989,123,51.8,20.394,14.97,28.96,95.568,5,2.2683,2.2043,423.99
1,1,3,7,"THPL",6.7455,126,45.1,17.756,3.17,24.75,81.675,5,1.7195,2.9078,236.83
1,1,3,8,"PSME",9.9315,142,28.3,11.142,14.5,24.69,81.477,5,0.677,7.385,126.78
1,1,3,9,"THPL",7.1345,149,44.9,17.677,4.57,25.7,84.81,5,1.7043,2.9338,243.43
1,1,4,1,"PSME",10.402,126,54.4,21.417,12.41,30.05,99.165,10,2.5018,3.9972,481.57
1,1,4,2,"PSME",10.602,182,38.35,15.098,18.63,28.99,95.667,10,1.2433,8.0431,244.07
1,1,4,3,"PSME",6.4657,218,51.15,20.138,12.34,28.9,95.37,10,2.2118,4.5213,413.25
1,1,4,5,"PSME",8.128,248,31.6,12.441,13.4,26.8,88.44,10,0.8442,11.846,162.63
1,1,4,6,"PSME",8.4635,265,30.7,12.087,15.85,25.58,84.414,10,0.7968,12.551,149.02
1,1,4,7,"PSME",10.297,246,37.4,14.724,16.89,30.61,101.01,10,1.1825,8.4569,244.99
1,1,5,10,"ABGR",11.496,74,29.3,11.535,4.25,20.68,68.244,5,0.7257,6.8895,151.54
1,1,5,11,"PSME",17.061,172,50.1,19.724,15.86,28.84,95.172,5,2.1219,2.3564,396.71
1,1,5,12,"PSME",11.761,197,32.1,12.638,11.06,18.36,60.588,5,0.8711,5.74,122.39
1,1,5,13,"PSME",14.719,196,39.8,15.669,10.73,24.77,81.741,5,1.3391,3.7338,226.63
1,1,5,3,"ABGR",15.82,8,56,22.047,7.56,32.5,107.25,5,2.6511,1.886,708.2
1,1,5,4,"THPL",15.083,18,50.6,19.921,5.26,22.48,74.184,5,2.1645,2.31,269.23
1,1,5,5,"TSHE",12.636,35,27.2,10.709,4.78,20.28,66.924,5,0.6254,7.9944,129.64
1,1,5,6,"TSHE",10.857,43,29.4,11.575,6.54,22.05,72.765,5,0.7307,6.8427,154.59
1,1,5,7,"ABGR",6.896,53,35.2,13.858,3.44,22.26,73.458,5,1.0474,4.7735,216.54
1,1,5,8,"PIPO",24.46,68,64,25.197,19.86,27.99,92.367,5,3.4626,1.444,754.63
1,1,5,9,"PIPO",33.336,73,99.1,39.016,28.18,39.19,129.33,5,8.3022,0.6022,2414.7
2,10,1,1,"TSHE",0.273,328,6.604,2.6,0.7,3.11,10.263,20,0.0369,542.46,38.149
2,10,1,2,"ABGR",0.6998,44,5.969,2.35,0.5,3.75,12.375,20,0.0301,664.02,35.011
2,10,1,3,"PSME",1.1233,58,10.668,4.2,2.01,7.86,25.938,20,0.0962,207.88,29.921
2,10,1,4,"PSME",2.181,95,12.192,4.8,1.42,7.88,26.004,20,0.1257,159.16,31.341
2,10,1,5,"THPL",18.379,351,87.884,34.6,13.45,25.99,85.767,20,6.5293,3.0631,912.24
2,10,2,1,"PSME",3.0542,100,52.832,20.8,25.66,35.64,117.61,10,2.3596,4.238,535.7
2,10,2,2,"THPL",4.4501,103,80.01,31.5,10.71,27.98,92.334,10,5.4117,1.8478,815.15
2,10,2,3,"THPL",6.1211,186,62.23,24.5,,,97.425,10,3.2738,3.0546,524.19
2,10,2,4,"THPL",13.416,186,71.12,28,25.97,42.22,139.33,10,4.2759,2.3387,969.8
2,10,2,5,"THPL",17.382,193,58.42,23,,,94.162,10,2.8852,3.466,448.09
2,10,2,6,"PSME",5.6945,200,24.892,9.8,7.77,15.96,52.668,10,0.5238,19.091,76.066
2,10,2,7,"THPL",18.309,206,67.818,26.7,19.64,33.69,111.18,10,3.8881,2.5719,706.62
2,10,2,8,"THPL",17.008,274,59.69,23.5,14.24,24.06,79.398,10,3.012,3.3201,395.72
2,10,3,1,"PSME",2.9481,80,7.62,3,0.5,5.8,19.14,5,0.0491,101.86,27.06
2,10,3,2,"PSME",3.557,144,9.398,3.7,0.45,5.03,16.599,5,0.0747,66.966,27.611
2,10,3,3,"PSME",1.7105,175,6.096,2.4,0.55,4.56,15.048,5,0.0314,159.16,26.201
2,10,3,4,"PSME",1.0656,348,7.112,2.8,0.3,4.52,14.916,5,0.0428,116.93,26.505
2,10,3,5,"PSME",0.0616,166,4.318,1.7,0.3,3.44,11.352,5,0.0158,317.22,25.661
2,10,3,6,"PSME",4.5821,282,10.414,4.1,0.4,5.2,17.16,5,0.0917,54.536,28.225
2,10,3,7,"LAOC",2.6632,12,8.636,3.4,0.55,6.15,20.295,5,0.063,79.304,32.129
2,10,4,1,"PSME",2.7406,56,8.128,3.2,0.6,4.59,15.147,5,0.0558,89.527,26.888
2,10,4,2,"THPL",8.9848,242,28.956,11.4,4.63,16.78,55.374,5,0.7088,7.0542,73.926
2,10,4,3,"PSME",2.3883,257,9.652,3.8,0.5,5.7,18.81,5,0.0788,63.487,28.056
2,10,4,4,"PSME",13.951,311,40.132,15.8,13.4,23.69,78.177,5,1.3615,3.6723,221.08
2,10,4,5,"PIMO",1.7717,345,6.35,2.5,0.33,3.62,11.946,5,0.0341,146.68,27.617
2,10,5,1,"THPL",21.898,276,115.57,45.5,9.76,27.25,89.925,10,11.291,0.8856,1645.3
2,10,5,2,"THPL",12.133,302,68.58,27,10.16,19.65,64.845,10,3.976,2.5151,425.79
2,10,5,3,"PSME",7.4307,321,40.132,15.8,17.5,30.39,100.29,10,1.3615,7.3446,276.44
2,10,5,4,"THPL",8.4499,331,45.974,18.1,19.4,31.3,103.29,10,1.7868,5.5966,307.85
2,10,5,5,"TSHE",8.204,344,50.8,20,11.21,29.94,98.802,10,2.1816,4.5838,512.75
2,10,5,6,"PIMO",14.564,160,56.896,22.4,14.3,33.41,110.25,10,2.7366,3.6542,684.49
2,10,5,7,"TSHE",9.9086,158,45.72,18,8.52,28.97,95.601,10,1.7671,5.659,409.94
2,10,5,8,"THPL",9.4651,198,33.02,13,9.94,22.05,72.765,10,0.9217,10.849,118.71
2,12,1,1,"PIMO",1.11,93,2.5,0.9843,0.3,2.61,8.613,5,0.0053,946.33,26.828
2,12,1,2,"PSME",1.3,124,4.8,1.8898,0.3,2.17,7.161,5,0.0195,256.71,25.589
2,12,1,3,"PICO",1.64,196,9,3.5433,0.5,4.42,14.586,5,0.0685,73.019,10.271
2,12,1,4,"PSME",0.77,165,3.4,1.3386,0.4,2.94,9.702,5,0.0098,511.64,25.506
2,12,1,5,"PSME",1.23,314,6.2,2.4409,0.2,4.73,15.609,5,0.0325,153.86,26.265
2,12,1,6,"PSME",1.33,310,5,1.9685,0.2,4.53,14.949,5,0.0211,236.58,25.913
2,12,1,7,"PSME",3.14,10,8.5,3.3465,0.2,5.25,17.325,5,0.0611,81.862,27.278
2,12,2,1,"PSME",1.43,304,3.8,1.4961,0.5,2.73,9.009,5,0.0122,409.6,25.534
2,12,2,2,"PICO",3.33,13,8.2,3.2283,0.5,5.54,18.282,5,0.0568,87.962,10.361
2,12,2,3,"PSME",3.27,31,8.5,3.3465,0.2,4.33,14.289,5,0.0611,81.862,26.937
2,12,2,4,"PIMO",2.29,115,6.2,2.4409,0,3.64,12.012,5,0.0325,153.86,27.58
2,12,2,5,"PSME",2.79,138,7.5,2.9528,0.1,4.32,14.256,5,0.0476,105.15,26.579
2,12,3,1,"PICO",2.83,122,6.3,2.4803,0.1,3.7,12.21,5,0.0336,149.02,8.9664
2,12,4,1,"PSME",2.28,192,7.7,3.0315,0.5,4.55,15.015,5,0.0501,99.756,26.716
2,12,4,2,"PIMO",3.36,252,7.3,2.874,0.1,5.23,17.259,5,0.045,110.99,28.424
2,12,4,3,"PSME",3.07,343,12.3,4.8425,0.8,5.08,16.764,5,0.1279,39.094,29.275
2,12,4,4,"PSME",3.25,82,9.1,3.5827,0.4,5.43,17.919,5,0.07,71.423,27.639
2,12,4,5,"PSME",3.49,145,9.6,3.7795,0.3,6.85,22.605,5,0.0779,64.177,28.571
2,12,4,6,"ABGR",0.52,49,3.1,1.2205,0.2,2.83,9.339,5,0.0081,615.46,34.307
2,12,4,7,"ABGR",1.31,352,3.2,1.2598,0.2,2.62,8.646,5,0.0087,577.59,34.304
2,12,5,1,"PSME",1.27,153,7.6,2.9921,0.3,5.2,17.16,5,0.0488,102.4,26.873
2,12,5,2,"ABGR",1.36,188,3.4,1.3386,0.4,2.9,9.57,5,0.0098,511.64,34.349
2,12,5,3,"PSME",0.78,231,9.9,3.8976,0.5,6.3,20.79,5,0.0829,60.346,28.5
2,12,5,4,"PSME",3.82,231,10.6,4.1732,0.3,4.8,15.84,5,0.095,52.639,28.099
2,12,5,5,"PSME",1.99,360,8.3,3.2677,0.5,4.5,14.85,5,0.0582,85.855,26.922
2,12,5,6,"PSME",3.48,45,10.7,4.2126,0.5,6.3,20.79,5,0.0968,51.66,29.032
3,13,1,1,"TSHE",3.23,310,75.3,29.646,7.84,31.37,103.52,40,4.7933,8.3449,1131.8
3,13,1,2,"PSME",12.63,313,87.8,34.567,23.73,37.73,124.51,40,6.5168,6.1379,1517.5
3,13,1,3,"TSHE",4.6,11,63.8,25.118,12.2,27.25,89.925,40,3.441,11.624,719.84
3,13,1,4,"TSHE",5.7,49,56.3,22.165,12.59,31.4,103.62,40,2.6796,14.928,649.75
3,13,1,5,"TSHE",7.22,160,71.3,28.071,12.57,29.22,96.426,40,4.2976,9.3075,951.37
