plot,subplot,point,scale,utme,utmn,slope,wetind,elevclass,insoclass,elev1,elevsq1,inso1,insosq1,LAIbeer2total,LAIbeer2can,acblue,acgreen,acred,acnir,acmir1,acmir2,acndvi,acndviC,acsr,acsrC,acvegind,acsavi,acsarvi2,acslavi,acinfrared,acbrightness,acgreenness,acwetness,MIRc
1,1,a,subplot,515397,5357562,6.598796,5.542925,Lower,Lower,921.6948,849521.3043,16381,268337161,3.170910078,2.284575568,0.0316,0.0525,0.0357,0.2515,0.0374,0.0239,0.751392758,0.332853809,7.044817927,3.120730748,0.2158,0.411204268,4.390819565,4.219798658,0.741086881,0.23360202,0.12256616,-0.00206715,0.442982456
1,2,a,subplot,515397,5357592,12.58861,4.892182,Lower,Lower,918.4601,843568.9553,15197,230948809,5.693379027,4.68616627,0.0235,0.0393,0.0242,0.2215,0.0273,0.0212,0.803011803,0.711440282,9.152892562,8.109141656,0.1973,0.396875419,4.143391155,4.878854626,0.780546624,0.19734719,0.1152488,-0.00089318,0.885964912
1,3,a,subplot,515397,5357622,18.81536,5.165314,Lower,Lower,910.7015,829377.2221,13331,177715561,5.816630286,6.055424789,0.0235,0.0393,0.0242,0.2215,0.0273,0.0212,0.803011803,0.711440282,9.152892562,8.109141656,0.1973,0.396875419,4.143391155,4.878854626,0.780546624,0.19734719,0.1152488,-0.00089318,0.885964912
1,4,a,subplot,515427,5357622,19.68639,5.11668,Lower,Lower,915.0935,837396.1137,12427,154430329,8.413867375,7.704797166,0.0175,0.0349,0.0184,0.2044,0.0273,0.0212,0.834829443,0.739629595,11.10869565,9.841914569,0.186,0.385998893,3.928858096,5.161616162,0.764350453,0.17928673,0.10954518,-0.00506966,0.885964912
1,5,a,subplot,515457,5357622,18.80322,5.166005,Lower,Lower,920.241,846843.4981,13588,184633744,4.238105347,3.512494837,0.0235,0.0349,0.0204,0.1702,0.0298,0.0212,0.78593914,0.610136964,8.343137255,6.476909185,0.1498,0.325369244,3.354682671,4.091346154,0.702,0.15895191,0.08274336,-0.00745963,0.776315789
1,6,a,subplot,515457,5357592,9.532772,5.174769,Lower,Lower,928.7845,862640.6474,15897,252714609,4.87686386,2.91593311,0.0235,0.0349,0.0204,0.2173,0.0273,0.0212,0.828355069,0.733893526,10.65196078,9.437263502,0.1969,0.400366002,4.230951051,5.223557692,0.776778414,0.19119027,0.11561372,-0.00246262,0.885964912
1,7,a,subplot,515457,5357562,6.195318,5.605583,Lower,Lower,927.8561,860916.9423,16121,259886641,5.441891369,3.928044779,0.0255,0.0459,0.0261,0.2215,0.0298,0.0212,0.78917609,0.61264986,8.486590038,6.588273846,0.1954,0.392054575,4.115937145,4.682875264,0.762833267,0.20199417,0.11131482,-0.00068623,0.776315789
1,8,a,subplot,515427,5357562,7.65952,5.394364,Lower,Lower,924.9225,855481.631,16329,266636241,2.965695435,1.325316065,0.0255,0.0437,0.0357,0.2258,0.0349,0.0239,0.726959847,0.401740968,6.324929972,3.495356037,0.1901,0.374458306,3.805805806,3.788590604,0.732259302,0.20946033,0.1098826,-0.00533176,0.552631579
1,9,a,subplot,515427,5357592,12.40264,4.907433,Lower,Lower,924.9438,855521.0332,15859,251507881,6.166615198,2.828111558,0.0215,0.0415,0.0261,0.2472,0.0247,0.0212,0.809001098,0.809001098,9.471264368,9.471264368,0.2211,0.428876245,4.448513138,5.226215645,0.818315557,0.21555885,0.13223782,0.00289804,1
4,1,a,subplot,512915,5356421,31.83348,4.567142,Lower,Lower,840.7886,706925.4699,9905,98109025,8.483763806,8.046412518,0.0195,0.0371,0.0204,0.2002,0.0247,0.0212,0.815049864,0.815049864,9.81372549,9.81372549,0.1798,0.37427144,3.821141667,4.8125,0.780346821,0.17813349,0.1043227,-0.00218022,1
